Symbol,Company_Name,Asset_Name,Highest_Phase,Market_Status,Active_Trial_Count,Next_Catalyst_Date,Mechanism_of_Action,Therapeutic_Area,Detailed_Conditions,Trial_NCTIds
CSWYY,China Shineway Pharmaceutical Group Limited,Rituximab combined with Daratumumab（Anti-CD38 Monoclonal Antibody）,PHASE2,Investigational,1,2027-03-31,Anti-CD20 antibody; Anti-CD38 antibody,Hematology,Immune Thrombocytopenia; Treatment,NCT07362199
CSWYY,China Shineway Pharmaceutical Group Limited,Romiplostim N01,PHASE2,Investigational,1,2026-08-31,Thrombopoietin receptor agonist,Hematology,Chemotherapy-induced Thrombocytopenia; Romiplostim N01,NCT07063225
CSWYY,China Shineway Pharmaceutical Group Limited,Romiplostim N01 combined with dexamethasone,PHASE2,Investigational,1,2028-01-31,Thrombopoietin receptor agonist; Corticosteroid,Hematology,Primary Immune Thrombocytopenia (ITP),NCT06992128
CSWYY,China Shineway Pharmaceutical Group Limited,S1,PHASE2,Investigational,1,2027-12-31,Unknown,Others,Phase II; Open-label; Parallel 2-arm; Multi-center,NCT05026905
CSWYY,China Shineway Pharmaceutical Group Limited,S1RA plus NMDAE,PHASE2,Investigational,1,2028-12-31,NMDA receptor antagonist,Neurology/CNS,Schizophrenia,NCT06574360
CSWYY,China Shineway Pharmaceutical Group Limited,SERD,PHASE2,Investigational,1,Passed,Selective estrogen receptor degrader,Metabolic/Endocrinology,Breast Cancer; Metastatic Cancer,NCT05205200
CSWYY,China Shineway Pharmaceutical Group Limited,SG+I,PHASE2,Investigational,1,2030-12-14,Unknown,Metabolic/Endocrinology,TNBC; Triple Negative Breast Cancer,NCT07271992
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-1167,PHASE2,Investigational,1,Passed,Unknown,Metabolic/Endocrinology,Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-1316,PHASE2,Investigational,1,Passed,Unknown,Metabolic/Endocrinology,Breast Cancer; Metastatic Cancer,NCT05205200
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-1701,PHASE2,Investigational,1,2029-08-01,PD-L1 inhibitor; Receptor tyrosine kinase inhibitor,"Gastroenterology, Others",Gastric Cancer; HER2 + Gastric Cancer; CLDN18.2-positive Adenocarcinoma of the Gastroesophageal Junction; PD-L1 Positive,NCT06881017
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-1701 + Rivoceranib,PHASE2,Investigational,1,2028-01-01,PD-L1 inhibitor; Receptor tyrosine kinase inhibitor,"Gastroenterology, Others",Gastric Cancer (GC); Gastroesophageal Junction Adenocarcinoma,NCT07311408
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-1701+Rivoceranib + SHR-2554,PHASE2,Investigational,1,2028-01-01,PD-L1 inhibitor; Receptor tyrosine kinase inhibitor; Unknown,"Gastroenterology, Others",Gastric Cancer (GC); Gastroesophageal Junction Adenocarcinoma,NCT07311408
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-6209,PHASE2,Investigational,1,Passed,Unknown,Others,Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-8068,PHASE2,Investigational,1,2026-11-01,Unknown,Others,Colorectal Cancer,NCT06373133
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-A1811 & Apartinib,PHASE2,Investigational,1,2028-07-31,VEGFR inhibitor,Others,Advanced Gastric Carcinoma; Advanced Gastroesophageal Junction Adenocarcinoma; Advanced Colorectal Cancer,NCT06666166
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-A1904,PHASE2,Investigational,1,2029-08-01,CLDN18.2 antibody,Others,Gastric Cancer; HER2 + Gastric Cancer; CLDN18.2-positive Adenocarcinoma of the Gastroesophageal Junction; PD-L1 Positive,NCT06881017
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-A1921,PHASE2,Investigational,1,Passed,Unknown,Others,Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-A1921 injection and adebrelimab,PHASE2,Investigational,1,2027-06-15,PD-1 antibody,Others,NSCLC,NCT06480136
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-A2009,PHASE2,Investigational,1,Passed,Unknown,Others,Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,SHR-A2102,PHASE2,Investigational,1,Passed,Unknown,Others,Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,SHR6390,PHASE2,Investigational,1,Passed,Unknown,Others,Breast Cancer; Metastatic Cancer,NCT05205200
CSWYY,China Shineway Pharmaceutical Group Limited,SOX Chemotherapy,PHASE2,Investigational,1,2028-05-14,Chemotherapy,"Others, Gastroenterology",Gastroesophageal Junction Adenocarcinoma; Hypofractionated Radiotherapy; Immunotherapy; Chemotherapy,NCT07072351
CSWYY,China Shineway Pharmaceutical Group Limited,SOX regimen,PHASE2,Investigational,1,2027-11-30,Chemotherapy,"Others, Gastroenterology",Gastric Cancer; Metastatic,NCT06283121
CSWYY,China Shineway Pharmaceutical Group Limited,SOX+Tislelizumab+LDRT,PHASE2,Investigational,1,2026-06-30,PD-1 antibody,"Others, Gastroenterology",Gastric Cancer,NCT06266871
CSWYY,China Shineway Pharmaceutical Group Limited,Sacituzumab Tirumotecan,PHASE2,Investigational,1,2027-02-01,Trop-2 antibody-drug conjugate,"Others, Respiratory",Extensive-Stage Small Cell Lung Cancer,NCT07388875
CSWYY,China Shineway Pharmaceutical Group Limited,Sacituzumab Tirumotecan and Limertinib,PHASE2,Investigational,1,2026-06-01,EGFR inhibitor,"Others, Respiratory",EGFR-mutant Non-small Cell Lung Cancer; Potentially Resectable,NCT07323056
CSWYY,China Shineway Pharmaceutical Group Limited,Selumetinib,PHASE2,Investigational,1,2028-01-31,MEK inhibitor,"Neurology/CNS, Rare Disease",Plexiform Neurofibromas (PN),NCT06763315
CSWYY,China Shineway Pharmaceutical Group Limited,Sertraline,PHASE2,Marketed,1,2026-11-30,SSRI,Neurology/CNS,Major Depressive Disorder,NCT04637620
CSWYY,China Shineway Pharmaceutical Group Limited,Sertraline-200 milligram(mg),PHASE2,Marketed,1,2027-06-30,SSRI,Neurology/CNS,Obsessive-Compulsive Disorder,NCT04539951
CSWYY,China Shineway Pharmaceutical Group Limited,Sertraline-300 milligram(mg),PHASE2,Marketed,1,2027-06-30,SSRI,Neurology/CNS,Obsessive-Compulsive Disorder,NCT04539951
CSWYY,China Shineway Pharmaceutical Group Limited,Siltuximab,PHASE2,Investigational,1,2026-08-01,IL-6 inhibitor,"Hematology, Immunology",CRS - Cytokine Release Syndrome; Myeloma,NCT07106671
CSWYY,China Shineway Pharmaceutical Group Limited,Sintilimab (approved),PHASE2,Marketed,1,Passed,PD-1 antibody,"Others, Gastroenterology",Hepatocellular Carcinoma (HCC),NCT06664996
CSWYY,China Shineway Pharmaceutical Group Limited,Sintilimab injection plus Inlyta treatment,PHASE2,Investigational,1,Passed,PD-1 antibody,"Immunology, Others",Carcinoma; Renal Cell; Fumarate Hydratase Deficiency; Immunotherapy,NCT04387500
CSWYY,China Shineway Pharmaceutical Group Limited,Sonrotoclax,PHASE2,Investigational,1,2030-02-28,Bcl-2 inhibitor,"Hematology, Others",Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,NCT06367374
CSWYY,China Shineway Pharmaceutical Group Limited,Spermidine,PHASE2,Investigational,1,2026-06-08,Unknown,"Others, Others",Radiation-induced Xerostomia,NCT07035626
CSWYY,China Shineway Pharmaceutical Group Limited,Spermidine simulants,PHASE2,Investigational,1,2026-06-08,Unknown,"Others, Others",Radiation-induced Xerostomia,NCT07035626
CSWYY,China Shineway Pharmaceutical Group Limited,Spray of spirulina derivatives,PHASE2,Investigational,1,Passed,Unknown,Others,Radiation-induced Oral Mucositis,NCT07040969
CSWYY,China Shineway Pharmaceutical Group Limited,Standard Treatment,PHASE2,Investigational,1,Passed,Unknown,Others,DCSZ11; Solid Tumors; HNSCC,NCT07035249
CSWYY,China Shineway Pharmaceutical Group Limited,Standard of Care (Investigator Selected),PHASE2,Investigational,1,2028-12-31,Unknown,"Neurology/CNS, Others",PCNSL; Primary Central Nervous System Lymphoma,NCT07350850
CSWYY,China Shineway Pharmaceutical Group Limited,Sunvozertinib,PHASE2,Investigational,1,2030-05-01,EGFR inhibitor,"Others, Respiratory",Potentially Resectable EGFR Exon 20 Insertion Non-Small Cell Lung Cancer; Non Small Cell Lung Cancer,NCT07274761
CSWYY,China Shineway Pharmaceutical Group Limited,Surufatinib,PHASE2,Investigational,1,2026-06-01,VEGFR inhibitor,"Others, Respiratory",NSCLC,NCT06414915
CSWYY,China Shineway Pharmaceutical Group Limited,TAC/AC-T,PHASE2,Investigational,1,2027-03-31,Chemotherapy,Others,Breast Cancer,NCT07305246
CSWYY,China Shineway Pharmaceutical Group Limited,TGRX-326,PHASE2,Investigational,1,Passed,EGFR inhibitor,"Others, Respiratory",Non-small Cell Lung Cancer,NCT05955391
CSWYY,China Shineway Pharmaceutical Group Limited,TGRX-814,PHASE2,Investigational,1,Passed,Unknown,"Hematology, Others",Hematologic Malignancy; Non Hodgkin Lymphoma; Acute Myeloid Leukemia; Acute Lymphoblastic Leukemia; Adult; Myelodysplastic Syndromes,NCT06206174
CSWYY,China Shineway Pharmaceutical Group Limited,TP03HN106,PHASE2,Investigational,1,Passed,Unknown,Cardiovascular,Critical Limb Ischemia,NCT06482892
CSWYY,China Shineway Pharmaceutical Group Limited,TP04HN106,PHASE2,Investigational,1,2027-01-31,Unknown,Neurology/CNS,Amyotrophic Lateral Sclerosis,NCT06726577
CSWYY,China Shineway Pharmaceutical Group Limited,TPC,PHASE2,Investigational,1,Passed,Hormone therapy,"Others, Metabolic/Endocrinology",Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,TS-1,PHASE2,Investigational,1,2029-08-31,Chemotherapy,"Gastroenterology, Others",Gastroesophageal Junction Adenocarcinoma; Hypofractionated Radiotherapy,NCT07182565
CSWYY,China Shineway Pharmaceutical Group Limited,Tagitanlimab,PHASE2,Investigational,1,2028-01-31,Unknown,Others,ER+HER2- Breast Cancer,NCT07109284
CSWYY,China Shineway Pharmaceutical Group Limited,Telitacicept,PHASE2,Investigational,1,Passed,BAFF inhibitor,"Immunology, Hematology",Connective Tissue Diseases; Thrombocytopenia,NCT05998759
CSWYY,China Shineway Pharmaceutical Group Limited,Teniposide administration,PHASE2,Investigational,1,2026-06-30,Chemotherapy,"Others, Respiratory",Extensive-stage Small Cell Lung Cancer (ES-SCLC); Thoracic Neoplasms; Lung Neoplasms; Lung Diseases,NCT06758700
CSWYY,China Shineway Pharmaceutical Group Limited,Thalidomide and methotrexate,PHASE2,Investigational,1,2026-06-10,Unknown,"Hematology, Others",T-LGL Leukemia; NK-LGL Leukemia,NCT06530576
CSWYY,China Shineway Pharmaceutical Group Limited,Thiotepa,PHASE2,Investigational,1,2027-12-30,Alkylating agent,Hematology,Hematologic Malignancies,NCT07441967
CSWYY,China Shineway Pharmaceutical Group Limited,Trifluridine/Tipiracil /Experimental,PHASE2,Investigational,1,2026-12-31,Thymidine phosphorylase inhibitor,"Gastroenterology, Others",Metastatic Gastric Adenocarcinoma; Second Line; Chemotherapy,NCT05927857
CSWYY,China Shineway Pharmaceutical Group Limited,Tyrosine kinase inhibitor,PHASE2,Investigational,1,2026-06-20,Tyrosine kinase inhibitor,Hematology,Acute Leukemia of Ambiguous Lineage,NCT04440267
CSWYY,China Shineway Pharmaceutical Group Limited,UB-421,PHASE2,Investigational,1,2026-12-31,Unknown,Infectious Diseases,HIV-1-infection,NCT04985890
CSWYY,China Shineway Pharmaceutical Group Limited,UB-621 high-dose,PHASE2,Investigational,1,Passed,Unknown,Infectious Diseases,Recurrent Genital Herpes,NCT04979975
CSWYY,China Shineway Pharmaceutical Group Limited,UB-621 low-dose,PHASE2,Investigational,1,Passed,Unknown,Infectious Diseases,Recurrent Genital Herpes,NCT04979975
CSWYY,China Shineway Pharmaceutical Group Limited,Utidelone,PHASE2,Investigational,1,2026-09-01,Microtubule-targeting agent,Others,Breast Cancer; Neoadjuvant Therapy,NCT05983094
CSWYY,China Shineway Pharmaceutical Group Limited,VRD-based Regimen,PHASE2,Investigational,1,Passed,"Bortezomib, Lenalidomide, Dexamethasone","Hematology, Others",Multiple Myeloma,NCT05850286
CSWYY,China Shineway Pharmaceutical Group Limited,VRD-based regimen,PHASE2,Investigational,1,2026-07-01,"Bortezomib, Lenalidomide, Dexamethasone","Hematology, Others",Plasma Cell Leukemia,NCT05979363
CSWYY,China Shineway Pharmaceutical Group Limited,VRd,PHASE2,Investigational,1,Passed,"Bortezomib, Lenalidomide, Dexamethasone","Hematology, Others",Multiple Myeloma,NCT05860036
CSWYY,China Shineway Pharmaceutical Group Limited,Vandetanib,PHASE2,Investigational,1,Passed,Multi-kinase inhibitor,"Metabolic/Endocrinology, Others",Locally Advanced Thyroid Gland Carcinoma,NCT06482086
CSWYY,China Shineway Pharmaceutical Group Limited,Venlafaxine,PHASE2,Marketed,1,2027-06-30,Serotonin-norepinephrine reuptake inhibitor (SNRI),Neurology/CNS,Obsessive-Compulsive Disorder,NCT04539951
CSWYY,China Shineway Pharmaceutical Group Limited,Vincristin,PHASE2,Marketed,1,2026-06-30,Vinca alkaloid,"Hematology, Others",Diffuse Large B-cell Lymphoma,NCT06594640
CSWYY,China Shineway Pharmaceutical Group Limited,Vindesine + Cisplatin,PHASE2,Investigational,1,Passed,Chemotherapy combination,Others,Locally Advanced Thyroid Gland Carcinoma; Thyroid Cancer,NCT06713057
CSWYY,China Shineway Pharmaceutical Group Limited,Vinorelbine,PHASE2,Investigational,1,2026-12-31,Vinca alkaloid,"Hematology, Others",Relapsed/Refractory Large B-Cell Lymphoma,NCT06489808
CSWYY,China Shineway Pharmaceutical Group Limited,Vorolanib,PHASE2,Investigational,1,2026-07-31,Multi-kinase inhibitor,Others,Renal Cell Carcinoma; Immunotherapy; Molecular Targeted Therapy,NCT06523049
CSWYY,China Shineway Pharmaceutical Group Limited,XELOX,PHASE2,Investigational,1,Passed,"Capecitabine, Oxaliplatin","Gastroenterology, Others",Colon Cancer,NCT06242418
CSWYY,China Shineway Pharmaceutical Group Limited,XELOX+Sintilimab+HBOT,PHASE2,Investigational,1,2026-12-31,"Chemotherapy combination, PD-1 antibody, Hyperbaric oxygen therapy","Gastroenterology, Others",Gastric (Stomach) Cancer,NCT06742411
CSWYY,China Shineway Pharmaceutical Group Limited,Yttrium [90Y] Microsphere,PHASE2,Investigational,1,2027-12-30,Radiopharmaceutical therapy,"Gastroenterology, Others",HCC,NCT07334483
CSWYY,China Shineway Pharmaceutical Group Limited,Zanubrutinib mono therapy for maintenance treatment,PHASE2,Investigational,1,2028-06-30,BTK inhibitor,Hematology,Waldenström Macroglobulinemia (WM),NCT07259122
CSWYY,China Shineway Pharmaceutical Group Limited,Zaunbrutinib,PHASE2,Investigational,1,2028-06-30,BTK inhibitor,"Hematology, Rare Disease",Waldenström Macroglobulinemia (WM),NCT07259122
CSWYY,China Shineway Pharmaceutical Group Limited,Zishui Daohuo oral liquid combined with Kujiu mouthwash,PHASE2,Investigational,1,2026-08-31,Unknown,"Gastroenterology, Others",Radiotherapy-induced Oral Mucositis,NCT07339774
CSWYY,China Shineway Pharmaceutical Group Limited,Zuberitamab,PHASE2,Investigational,1,2026-10-31,Anti-CD20 antibody,"Immunology, Infectious Diseases",HSCT; EBV Infection,NCT07261215
CSWYY,China Shineway Pharmaceutical Group Limited,abiraterone acetate tablets (II),PHASE2,Investigational,1,2027-10-30,Androgen synthesis inhibitor,"Urology/Nephrology, Others",Metastatic Castration-resistant Prostate Cancer,NCT06971211
CSWYY,China Shineway Pharmaceutical Group Limited,afatinib,PHASE2,Investigational,1,2026-08-27,EGFR tyrosine kinase inhibitor,"Others, Respiratory",Non-small Cell Lung Cancer; EGFR Gene Mutation; EGFR-TKI Resistant Mutation,NCT06071013
CSWYY,China Shineway Pharmaceutical Group Limited,albumin-bound paclitaxel,PHASE2,Investigational,1,2027-12-30,Albumin-bound nanoparticle formulation of paclitaxel,"Others, Gastroenterology",Pancreatic Cancer; Neoadjuvant Therapy,NCT06177522
CSWYY,China Shineway Pharmaceutical Group Limited,ancetate,PHASE2,Investigational,1,Passed,Unknown,"Urology/Nephrology, Others",Contraceptive Device; Complications,NCT06203080
CSWYY,China Shineway Pharmaceutical Group Limited,and fludarabine prior to undergoing allogeneic hematopoie,PHASE2,Investigational,1,2029-09-14,Chemotherapy (alkylating agent) + purine analog,"Hematology, Others","CML,Blast Phase; HSCT",NCT07259161
CSWYY,China Shineway Pharmaceutical Group Limited,and prednisone.,PHASE2,Investigational,1,2027-10-30,Glucocorticoid receptor agonist,"Urology/Nephrology, Others",Metastatic Castration-resistant Prostate Cancer,NCT06971211
CSWYY,China Shineway Pharmaceutical Group Limited,anti-BCMA-CAR-T,PHASE2,Investigational,1,2027-03-31,BCMA-targeted CAR-T cell therapy,"Immunology, Hematology",Multiple Myeloma,NCT06880393
CSWYY,China Shineway Pharmaceutical Group Limited,anti-EGFR,PHASE2,Investigational,1,2026-08-01,EGFR inhibitor,"Others, Others",Head and Neck Squamous Cell Carcinoma,NCT06508606
CSWYY,China Shineway Pharmaceutical Group Limited,befotertinib,PHASE2,Investigational,1,2027-06-30,EGFR tyrosine kinase inhibitor,"Others, Respiratory",NSCLC (Non-small Cell Lung Cancer),NCT06863506
CSWYY,China Shineway Pharmaceutical Group Limited,bevacizumab,PHASE2,Investigational,1,Passed,VEGF inhibitor,"Others, Cardiovascular",Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer,NCT05594095
CSWYY,China Shineway Pharmaceutical Group Limited,busulfan,PHASE2,Investigational,1,2027-12-30,Chemotherapy (alkylating agent),"Hematology, Others",Hematologic Malignancies,NCT07441967
CSWYY,China Shineway Pharmaceutical Group Limited,cadonilimab combined +paclitaxel (albumin-bound),PHASE2,Investigational,1,Passed,Chemotherapy + immune checkpoint inhibitor,"Others, Gastroenterology",Gastric Adenocarcinoma,NCT06118645
CSWYY,China Shineway Pharmaceutical Group Limited,canagliflozin,PHASE2,Investigational,1,2027-07-31,SGLT2 inhibitor,"Metabolic/Endocrinology, Urology/Nephrology",Acute Kidney Injury,NCT06528405
CSWYY,China Shineway Pharmaceutical Group Limited,chemotherapy regimen selected by the investigator,PHASE2,Investigational,1,2026-07-31,Chemotherapy,Others,Triple-Negative Breast Cancer (TNBC),NCT06735131
CSWYY,China Shineway Pharmaceutical Group Limited,cis Platinum/Carboplatin,PHASE2,Investigational,1,Passed,Platinum-based chemotherapy,"Others, Respiratory",Chemotherapy; Adjuvant; Lung Adenocarcinoma; Stage I; Treatment; Histological Type of Neoplasm,NCT03351842
CSWYY,China Shineway Pharmaceutical Group Limited,combined chemotherapy,PHASE2,Investigational,1,2026-10-01,Chemotherapy,"Hematology, Others",AML (Acute Myelogenous Leukemia),NCT06635681
CSWYY,China Shineway Pharmaceutical Group Limited,corticosteroids combined with immunoglobulin and romiplostim,PHASE2,Investigational,1,Passed,"Corticosteroids, IVIG, Thrombopoietin receptor agonist","Immunology, Hematology",Primary Immune Thrombocytopenia,NCT06686927
CSWYY,China Shineway Pharmaceutical Group Limited,dapagliflozin,PHASE2,Investigational,1,2027-07-31,SGLT2 inhibitor,Urology/Nephrology,Acute Kidney Injury,NCT06528405
CSWYY,China Shineway Pharmaceutical Group Limited,day-2,PHASE2,Investigational,1,2026-03-31,Unknown,"Hematology, Others",Multiple Myeloma; Lymphoma,NCT05294055
CSWYY,China Shineway Pharmaceutical Group Limited,day-5,PHASE2,Investigational,1,2026-03-31,Unknown,"Hematology, Others",Multiple Myeloma; Lymphoma,NCT05294055
CSWYY,China Shineway Pharmaceutical Group Limited,denosumab combined anti-PD-1 inhibitor with chemotherapy,PHASE2,Investigational,1,2026-10-31,PD-1 antibody,"Others, Respiratory",Non-Small Cell Lung Cancer,NCT07034391
CSWYY,China Shineway Pharmaceutical Group Limited,dexamethasone,PHASE2,Investigational,1,2026-06-20,Corticosteroid,"Hematology, Others",Acute Leukemia of Ambiguous Lineage,NCT04440267
CSWYY,China Shineway Pharmaceutical Group Limited,empagliflozin,PHASE2,Investigational,1,2027-07-31,SGLT2 inhibitor,Urology/Nephrology,Acute Kidney Injury,NCT06528405
CSWYY,China Shineway Pharmaceutical Group Limited,erlotinib,PHASE2,Marketed,1,2026-08-27,EGFR TKI,Others,Non-small Cell Lung Cancer; EGFR Gene Mutation; EGFR-TKI Resistant Mutation,NCT06071013
CSWYY,China Shineway Pharmaceutical Group Limited,gefitinib,PHASE2,Marketed,1,2026-08-27,EGFR TKI,Others,Non-small Cell Lung Cancer; EGFR Gene Mutation; EGFR-TKI Resistant Mutation,NCT06071013
CSWYY,China Shineway Pharmaceutical Group Limited,hepatic arterial infusion chemotherapy (HAIC),PHASE2,Investigational,1,2026-09-06,Chemotherapy,"Others, Gastroenterology",Intrahepatic Cholangiocarcinoma (Icc); HAIC; Durvalumab,NCT06859684
CSWYY,China Shineway Pharmaceutical Group Limited,herombopag olamine,PHASE2,Investigational,1,2026-12-31,Thrombopoietin receptor agonist,"Hematology, Rare Disease",Herombopag,NCT06838949
CSWYY,China Shineway Pharmaceutical Group Limited,iparomlimab and tuvonralimab (Dual PD-1/CTLA-4 blockade) + chemotherapy,PHASE2,Investigational,1,2026-10-31,PD-1/CTLA-4 antibody,Others,Malignant Mesothelioma; Mesothelioma,NCT07131345
CSWYY,China Shineway Pharmaceutical Group Limited,leucovorin,PHASE2,Investigational,1,2027-12-31,Unknown,Others,Phase II; Open-label; Parallel 2-arm; Multi-center,NCT05026905
CSWYY,China Shineway Pharmaceutical Group Limited,liposomal mitoxantrone,PHASE2,Investigational,1,2026-12-30,Anthracycline antibiotic,"Hematology, Others",Peripheral T Cell Lymphoma; Epigenetic Repression,NCT05958719
CSWYY,China Shineway Pharmaceutical Group Limited,mCapOX plus cetuximab,PHASE2,Investigational,1,Passed,EGFR antibody,"Others, Gastroenterology",Colo-rectal Cancer; Capecitabine; Cetuximab,NCT05022030
CSWYY,China Shineway Pharmaceutical Group Limited,mFOLFOX6 plus cetuximab,PHASE2,Investigational,1,Passed,EGFR antibody,"Others, Gastroenterology",Colo-rectal Cancer; Capecitabine; Cetuximab,NCT05022030
CSWYY,China Shineway Pharmaceutical Group Limited,maintenance therapy of GP(Pomalidomide+Obinutuzumab）,PHASE2,Investigational,1,2027-12-05,IMiD (Immunomodulatory drug),"Hematology, Others",Indolent Lymphoma,NCT07441954
CSWYY,China Shineway Pharmaceutical Group Limited,melphalan,PHASE2,Marketed,1,2029-09-14,Alkylating agent,"Hematology, Others","CML,Blast Phase; HSCT",NCT07259161
CSWYY,China Shineway Pharmaceutical Group Limited,mercaptopurine,PHASE2,Marketed,1,2026-06-20,Purine analog antimetabolite,"Hematology, Others",Acute Leukemia of Ambiguous Lineage,NCT04440267
CSWYY,China Shineway Pharmaceutical Group Limited,mitotane,PHASE2,Marketed,1,2026-12-31,Adrenocortical steroidogenesis inhibitor,"Metabolic/Endocrinology, Others",Adrenal Cortical Carcinoma; Adrenal Cortical Cancer; Adrenal Cancer,NCT06831175
CSWYY,China Shineway Pharmaceutical Group Limited,nal-IRI /Experimental,PHASE2,Investigational,1,2026-12-31,Liposomal chemotherapy,"Others, Gastroenterology",Metastatic Gastric Adenocarcinoma; Second Line; Chemotherapy,NCT05927857
CSWYY,China Shineway Pharmaceutical Group Limited,nicotinamide adenine dinucleotid/nicotinamide mononucleotide,PHASE2,Investigational,1,Passed,Nicotinamide adenine dinucleotide/mononucleotide supplementation,"Immunology, Hematology",Immune Thrombocytopenia; Treatment,NCT06776510
CSWYY,China Shineway Pharmaceutical Group Limited,nonoxinol,PHASE2,Investigational,1,Passed,Spermicide,"Urology/Nephrology, Others",Contraceptive Device; Complications,NCT06203080
CSWYY,China Shineway Pharmaceutical Group Limited,obinutuzumab,PHASE2,Investigational,1,2028-04-28,CD20 antibody,Hematology,Follicular Lymphoma,NCT07299149
CSWYY,China Shineway Pharmaceutical Group Limited,osimertinib,PHASE2,Marketed,1,2026-08-27,EGFR inhibitor,Others,Non-small Cell Lung Cancer; EGFR Gene Mutation; EGFR-TKI Resistant Mutation,NCT06071013
CSWYY,China Shineway Pharmaceutical Group Limited,raltitrexed,PHASE2,Investigational,1,Passed,Thymidylate synthase inhibitor,Others,Fruquintinib; S-1; Raltitrexed,NCT06427005
CSWYY,China Shineway Pharmaceutical Group Limited,reduced-dose conditioning regimen containing TBI in hematopoietic stem cell transplantation treating elderly patients with aplastic anemia,PHASE2,Investigational,1,2028-09-30,Hematopoietic stem cell transplant conditioning regimen,Hematology,Aplastic Anaemia; HSCT; TBI; Old Age,NCT06769568
CSWYY,China Shineway Pharmaceutical Group Limited,second-line group,PHASE2,Investigational,1,2026-09-30,Chemotherapy (implied),Others,SCLC; Extensive Stage,NCT06620796
CSWYY,China Shineway Pharmaceutical Group Limited,sintilimab+IBI310+chemotherapy,PHASE2,Investigational,1,2028-06-10,PD-1 antibody + Chemotherapy,Others,NSCLC Stage II; NSCLC Stage III,NCT07410975
CSWYY,China Shineway Pharmaceutical Group Limited,sintiliman plus LDRT,PHASE2,Investigational,1,2027-06-30,Immunotherapy + Radiotherapy,Others,Gastric Cancer,NCT06426654
CSWYY,China Shineway Pharmaceutical Group Limited,standard CHOP,PHASE2,Investigational,1,2026-07-15,Chemotherapy (CHOP regimen),Others,Peripheral T Cell Lymphoma,NCT05675813
CSWYY,China Shineway Pharmaceutical Group Limited,standard IST combined with Romiplostim N01,PHASE2,Investigational,1,Passed,TPO receptor agonist,Hematology,Aplastic Anemia; TPO Receptor Agonists,NCT06613880
CSWYY,China Shineway Pharmaceutical Group Limited,supCD7 CART cells,PHASE2,Investigational,1,2028-06-28,Chimeric antigen receptor T-cell therapy,Hematology,T Lymphoblastic Leukemia/Lymphoma; Acute Myeloid Leukemia (AML),NCT07153068
CSWYY,China Shineway Pharmaceutical Group Limited,taken with hot water.,PHASE2,Investigational,1,Passed,Unknown,Metabolic/Endocrinology,Obese Impaired Glucose Tolerance; Newly Diagnosed Obese Type 2 Diabetic Patients,NCT06495814
CSWYY,China Shineway Pharmaceutical Group Limited,topotecan hydrochloride for,PHASE2,Investigational,1,2028-08-01,Topoisomerase inhibitor,Others,Small Cell Lung Cancer,NCT07076095
CSWYY,China Shineway Pharmaceutical Group Limited,umbilical cord mesenchymal stem cell,PHASE2,Investigational,1,Passed,Mesenchymal stem cell therapy,Respiratory,Acute Respiratory Distress Syndrome,NCT06505941
CSWYY,China Shineway Pharmaceutical Group Limited,vincristine,PHASE2,Investigational,1,2026-06-20,Vinca alkaloid,Hematology,Acute Leukemia of Ambiguous Lineage,NCT04440267
CSWYY,China Shineway Pharmaceutical Group Limited,zanubrutinib,PHASE2,Marketed,1,Passed,BTK inhibitor,"Immunology, Hematology",Antiphospholipid Syndrome; Thrombocytopenia; Treatment,NCT05199909
